Lectin Name,Short Names,UniProt ID,PDB IDs,LfDB IDs,Monosaccharide Specificities,Species,Taxonomy ID,MCAW IDs
"1,2-alpha-glucosylglycerol phosphorylase",,D6XZ22,"[""4KTP"",""4KTR""]",,,Bacillus selenitireducens (strain ATCC 700615 / DSM 15326 / MLS10),439292,
"1,3-alpha-isomaltosidase",,D2PPM7,"[""5X3I"",""5X3J"",""5X3K""]",,,Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399),479435,
"1,4-alpha-glucan-branching enzyme",,Q04446,"[""4BZY"",""5CLT"",""5CLW""]",,,Homo sapiens,9606,
"1,4-alpha-glucan-branching enzyme",,Q9D6Y9,,,,Mus musculus,10090,
16 kDa beta-galactoside-binding lectin,"[""C16"",""CG-16""]",P23668,"[""1QMJ""]","[""LfDB0050""]","[""Gal""]",Gallus gallus,9031,
170 kDa surface lectin,,P23502,,,,Entamoeba histolytica,5759,
"2,3-diketo-L-gulonate-binding periplasmic protein YiaO",,P37676,,,,Escherichia coli (strain K12),83333,
2-acetamido-2-deoxy-D-galactose-binding seed lectin 2,,P29257,,,,Cytisus scoparius,3835,
25 kDa protein elicitor,,Q9SPD4,"[""3GNU"",""3GNZ"",""5NNW"",""5NO9"",""6QBD""]",,,Pythium aphanidermatum,65070,
29-kDa galactose-binding lectin,"[""EW29""]",O96048,"[""2DRY"",""2DRZ"",""2DS0"",""2RST"",""2ZQN"",""2ZQO""]","[""LfDB0357""]",,Lumbricus terrestris,6398,
3-O-alpha-D-glucosyl-L-rhamnose phosphorylase,,A9KM56,,,,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg),357809,
30 kDa spicule matrix protein,,P28163,,,,Strongylocentrotus purpuratus,7668,
30 kDa spicule matrix protein alpha,,Q26646,,,,Strongylocentrotus purpuratus,7668,
32 kDa beta-galactoside-binding lectin,,P36573,,,,Caenorhabditis elegans,6239,
32 kDa beta-galactoside-binding lectin,,O44126,,,,Haemonchus contortus,6289,
32 kDa beta-galactoside-binding lectin lec-3,,Q09581,,,,Caenorhabditis elegans,6239,
4-alpha-glucanotransferase,,O32462,"[""1K1W"",""1K1X"",""1K1Y""]",,,Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C),523849,
4-alpha-glucanotransferase,,O32450,,,,Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1),69014,
"6-phosphogluconate dehydrogenase, decarboxylating",,P85968,,,,Rattus norvegicus,10116,
"6-phosphogluconate dehydrogenase, decarboxylating",,Q9DCD0,,,,Mus musculus,10090,
ABC transporter periplasmic-binding protein YphF,,P77269,,,,Escherichia coli (strain K12),83333,
ATP synthase subunits region ORF 7,,P05450,,,,Fuscovulum blasticum,1075,
"ATP-dependent 6-phosphofructokinase, muscle type",,P47858,,,,Rattus norvegicus,10116,
"ATP-dependent 6-phosphofructokinase, muscle type",,P47857,,,,Mus musculus,10090,
Abrin-a,,P11140,"[""1ABR"",""5Z37"",""5Z3I"",""5Z3J""]",,,Abrus precatorius,3816,
Abrin-b,,Q06077,,,,Abrus precatorius,3816,
Abrin-c,,P28590,,,,Abrus precatorius,3816,
Abrin-d,,Q06076,,,,Abrus precatorius,3816,
Accessory gland protein Acp29AB,,O46197,,,,Drosophila melanogaster,7227,
Accessory gland protein Acp29AB,,Q9U968,,,,Drosophila simulans,7240,
Acid trehalase,,P78617,,,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),227321,
Acidic lectin A1 (Fragment),,P22582,,,,Psophocarpus scandens,3890,
Acidic lectin A3 (Fragment),,P22583,,,,Psophocarpus scandens,3890,
Actinohivin,,Q9KWN0,"[""3A07"",""4DEN"",""4END"",""4G1R"",""4P6A""]",,,Actinomycete sp. (strain K97-0003),237531,
Adhesin (Fragment),,Q6DSX7,"[""5F93"",""5F97""]",,,Helicobacter pylori,210,
Adhesin binding fucosylated histo-blood group antigen,,O52269,"[""5F7K"",""5F7L"",""5F7M"",""5F7N"",""5F7W"",""5F7Y"",""5F8Q"",""5F8R"",""5F93"",""5F97"",""5F9A"",""5F9D""]",,,Helicobacter pylori,210,
Adhesion G protein-coupled receptor L1,,O88917,"[""4DLQ"",""5OVP""]",,,Rattus norvegicus,10116,
Adhesion G protein-coupled receptor L1,,Q80TR1,"[""2JX9"",""2JXA"",""6SKA""]",,,Mus musculus,10090,
Adhesion G protein-coupled receptor L1,,O97831,,,,Bos taurus,9913,
Adhesion G protein-coupled receptor L1,,O94910,,,,Homo sapiens,9606,
Adhesion G protein-coupled receptor L2,,Q8JZZ7,"[""6SKE""]",,,Mus musculus,10090,
Adhesion G protein-coupled receptor L2,,O97817,,,,Bos taurus,9913,
Adhesion G protein-coupled receptor L2,,O95490,,,,Homo sapiens,9606,
Adhesion G protein-coupled receptor L2,,O88923,,,,Rattus norvegicus,10116,
Adhesion G protein-coupled receptor L3,,Q80TS3,"[""4RMK"",""4RML"",""4YEB"",""5AFB"",""5FTT"",""5FTU"",""6JBU""]",,,Mus musculus,10090,
Adhesion G protein-coupled receptor L3,,Q9HAR2,"[""5CMN"",""6VHH""]",,,Homo sapiens,9606,
Adhesion G protein-coupled receptor L3,,O97827,,,,Bos taurus,9913,
Adhesion G protein-coupled receptor L3,,Q9Z173,,,,Rattus norvegicus,10116,
Aerolysin-like protein,,Q5CZR5,"[""4ZNO"",""4ZNQ"",""4ZNR"",""5DI0""]",,,Danio rerio,7955,
Agaricus bisporus lectin,"[""ABA"",""ABL""]",Q00022,"[""1Y2T"",""1Y2U"",""1Y2V"",""1Y2W"",""1Y2X""]","[""LfDB0126""]","[""Gal"",""GlcNAc""]",Agaricus bisporus,5341,
Agglutinin,"[""ACA""]",Q71QF2,"[""1JLX"",""1JLY""]","[""LfDB0221""]","[""GalNAc""]",Amaranthus caudatus,3567,
Agglutinin,,Q2F1K8,"[""2CCV"",""2CE6"",""2CGY"",""2CGZ""]",,,Helix pomatia,6536,"[""1356"",""1357"",""1358"",""1359"",""4881"",""4882""]"
Agglutinin,,P06750,"[""1RZO""]",,,Ricinus communis,3988,
Agglutinin,,A7EWX9,,,,Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1),665079,
Agglutinin,,A7XUK7,"[""2X2S"",""2X2T""]",,,Sclerotinia sclerotiorum,5180,
Agglutinin,,Q8X123,"[""2IHO"",""3EF2"",""5D61"",""5D62"",""5D63"",""5MU9"",""6TSL"",""6TSM"",""6TSN"",""6TSO"",""6TSP"",""6TSQ"",""6TSR"",""6YH0""]",,,Marasmius oreades,181124,
Agglutinin alpha chain,,P18674,"[""1JOT"",""3LLY"",""3LLZ"",""3LM1""]",,,Maclura pomifera,3496,
Agglutinin alpha chain,,P18670,"[""1JAC"",""1KU8"",""1KUJ"",""1M26"",""1PXD"",""1TOQ"",""1TP8"",""1UGW"",""1UGX"",""1UGY"",""1UH0"",""1UH1"",""1WS4"",""1WS5"",""4AK4"",""4AKB"",""4AKC"",""4R6N"",""4R6O"",""4R6P"",""4R6Q"",""4R6R"",""5J4T"",""5J4X"",""5J50"",""5J51"",""5JM1""]",,,Artocarpus integer,3490,
Agglutinin alpha chain (Fragment),,P84762,,,,Artocarpus tonkinensis,3492,
Agglutinin alpha-1 chain (Fragment),,P83422,,,,Morus nigra,85232,
Agglutinin beta-1 chain,,P18671,"[""1JAC"",""1KU8"",""1KUJ""]",,,Artocarpus integer,3490,
Agglutinin beta-1 chain,,P18675,,,,Maclura pomifera,3496,
Agglutinin beta-1 chain (Fragment),,Q9S8T1,,,,Artocarpus tonkinensis,3492,
Agglutinin beta-1 chain isoform 1 (Fragment),,P83424,,,,Morus nigra,85232,
Agglutinin beta-2 chain,,P18676,"[""1JOT"",""3LLY"",""3LLZ"",""3LM1""]",,,Maclura pomifera,3496,
Agglutinin beta-2 chain,,P18672,,,,Artocarpus integer,3490,
Agglutinin beta-3 chain,,P18673,"[""1M26"",""1PXD"",""1TOQ"",""1TP8"",""1UGW"",""1UGX"",""1UGY"",""1UH0"",""1UH1"",""1WS4"",""1WS5"",""4R6N"",""4R6O"",""4R6P"",""4R6Q"",""4R6R"",""5J4T"",""5J4X"",""5J50"",""5J51"",""5JM1""]",,,Artocarpus integer,3490,
Agglutinin beta-3 chain,,P18677,,,,Maclura pomifera,3496,
Agglutinin beta-4 chain (Fragment),,Q9S8T0,"[""4AK4"",""4AKB"",""4AKC""]",,,Artocarpus integer,3490,
Agglutinin isolectin 1,,P10968,"[""1WGC"",""2CWG"",""2UVO"",""2X3T"",""4AML"",""7WGA""]",,,Triticum aestivum,4565,
